term,reading,meaning_en,meaning_vi,example_jp,section
〜ことから,〜ことから,because of ~; from the fact that,từ việc ~ mà,声（こえ）が大（おお）きいことから、彼（かれ）は先生（せんせい）に選（えら）ばれた。,phrase
〜だけに,〜だけに,because ~; being that ~,chính vì ~ nên càng ~,彼（かれ）は努力家（どりょくか）だけに、結果（けっか）に落胆（らくたん）している。,phrase
〜にしても,〜にしても,even if ~; even supposing,dù là ~ đi nữa,遅刻（ちこく）するにしても、連絡（れんらく）ぐらいしてほしい。,phrase
〜に限って,〜にかぎって,especially when ~,đúng lúc ~ thì lại ~,雨（あめ）が降（ふ）る日に限（かぎ）って傘（かさ）を忘（わす）れる。,phrase
〜というものだ,〜というものだ,is truly ~; should be called ~,đúng là ~; chính là ~,それはずるいというものだ。,phrase
〜とばかりに,〜とばかりに,as if to say ~,như thể muốn nói ~,彼（かれ）は「見（み）ろ」とばかりに笑（わら）った。,phrase
〜に足る,〜にたる,worthy of; enough to ~,đủ để ~; xứng đáng với ~,信頼（しんらい）に足（た）る人物（じんぶつ）だ。,phrase
〜をよそに,〜をよそに,ignoring ~; disregarding ~,mặc kệ ~; bất chấp ~,親（おや）の心配（しんぱい）をよそに出（で）かけてしまった。,phrase
〜んがために,〜んがために,in order to ~ (formal),để mà ~ (trang trọng),成功（せいこう）せんがために必死（ひっし）に努力（どりょく）した。,phrase
〜にもかかわらず,〜にもかかわらず,despite; although,mặc dù ~,雨（あめ）が降（ふ）っているにもかかわらず、試合（しあい）は行（おこな）われた。,phrase
〜を皮切りに,〜をかわきりに,starting with ~,khởi đầu là ~,福岡（ふくおか）を皮切（かわき）りに全国（ぜんこく）でライブが開（ひら）かれる。,phrase
〜を余儀なくされる,〜をよぎなくされる,be forced to ~,bị buộc phải ~,彼（かれ）は辞職（じしょく）を余儀（よぎ）なくされた。,phrase
〜にたえる,〜にたえる,worth ~; capable of ~,đáng để ~; chịu đựng được ~,鑑賞（かんしょう）にたえる映画（えいが）だ。,phrase
〜を禁じ得ない,〜をきんじえない,cannot hold back (emotion),không thể kìm nén được,感動（かんどう）を禁（きん）じ得（え）なかった。,phrase
〜たりとも,〜たりとも,not even (a single...),dù chỉ một ~ cũng không,一日（いちにち）たりとも忘（わす）れたことはない。,phrase
〜に至るまで,〜にいたるまで,up to; until (formal),cho đến cả ~,髪型（かみがた）に至（いた）るまで彼女（かのじょ）を真似（まね）している。,phrase
〜をもって,〜をもって,as of; by means of,kể từ ~; bằng ~,本日（ほんじつ）をもって閉店（へいてん）します。,phrase
〜を限りに,〜をかぎりに,starting from; as of (last),từ ~; đến ~ là hết,今日（きょう）を限（かぎ）りに禁煙（きんえん）します。,phrase
〜が最後,〜がさいご,"once ~ happens, then (no turning back)",một khi đã ~ thì,やり始（はじ）めたが最後（さいご）、止（と）められない。,phrase
〜ことだし,〜ことだし,since; considering that,vì ~ nên,雨（あめ）も降（ふ）っていることだし、今日は家（いえ）にいよう。,phrase
〜ないまでも,〜ないまでも,even if not ~; at least ~,dù không đến mức ~ thì cũng ~,毎日（まいにち）でないまでも、週（しゅう）に一回（いっかい）は運動（うんどう）しよう。,phrase
